word	count
怒っとる	2
訳せる	1
病んとる	1
あえる	1
着てみる	1
続けとる	2
急いとる	1
聞き取れる	1
割れとる	1
回っとる	3
組み立てれる	1
ぶっかけたる	1
呼べる	2
つられる	1
眠ってる	1
まわれる	2
あくる	1
歩き回っとる	1
懸かってる	1
気がついとる	1
止まれる	1
壊れとる	1
捕まっとる	2
言い切る	1
追っかける	1
よけてくれる	1
死んとる	2
ぶら下がっとる	1
垂れ下がってる	1
はみ出る	1
離れとる	3
似とる	5
考えてくれる	1
遊んでくれる	1
近づいてくる	2
食べとる	4
隠してる	2
溶けてくる	1
役立ってる	1
でもできる	2
伝える	2
とろける	3
えらべる	1
心掛けてる	1
動いてくれる	1
絡んでくる	1
愛せる	3
押しつける	1
汚れてる	1
就ける	1
あせる	1
住んでいる	1
年取る	1
ありえる	1
働けてる	1
使ってくる	1
伺ってる	1
