あっさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,あっさい,アッサイ,アッサイ
あっさかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,あっさい,アッサカッ,アッサカッ
あっさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あっさい,アッサ,アッサ
くっどい	形容詞,自立,*,*,形容詞・アウオ段,基本形,くっどい,クッドイ,クッドイ
くっどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,くっどい,クッドカッ,クッドカッ
くっど	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くっどい,クッド,クッド
ぬっくい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ぬっくい,ヌックイ,ヌックイ
ぬっくかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ぬっくい,ヌックカッ,ヌックカッ
ぬっく	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ぬっくい,ヌック,ヌック
あっやい	形容詞,自立,*,*,形容詞・アウオ段,基本形,あっやい,アッヤイ,アッヤイ
あっやかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,あっやい,アッヤカッ,アッヤカッ
あっや	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あっやい,アッヤ,アッヤ
ずっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ずっるい,ズッルイ,ズッルイ
ずっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ずっるい,ズッルカッ,ズッルカッ
ずっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ずっるい,ズッル,ズッル
すっごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すっごい,スッゴイ,スッゴイ
すっごかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,すっごい,スッゴカッ,スッゴカッ
すっご	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,すっごい,スッゴ,スッゴ
まっるい	形容詞,自立,*,*,形容詞・アウオ段,基本形,まっるい,マッルイ,マッルイ
まっるかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,まっるい,マッルカッ,マッルカッ
まっる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,まっるい,マッル,マッル
くっろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,くっろい,クッロイ,クッロイ
くっろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,くっろい,クッロカッ,クッロカッ
くっろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くっろい,クッロ,クッロ
おっぞい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おっぞい,オッゾイ,オッゾイ
おっぞかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,おっぞい,オッゾカッ,オッゾカッ
おっぞ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おっぞい,オッゾ,オッゾ
よっわい	形容詞,自立,*,*,形容詞・アウオ段,基本形,よっわい,ヨッワイ,ヨッワイ
よっわかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,よっわい,ヨッワカッ,ヨッワカッ
よっわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,よっわい,ヨッワ,ヨッワ
しっげい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しっげい,シッゲイ,シッゲイ
しっげかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しっげい,シッゲカッ,シッゲカッ
しっげ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しっげい,シッゲ,シッゲ
にっがい	形容詞,自立,*,*,形容詞・アウオ段,基本形,にっがい,ニッガイ,ニッガイ
にっがかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,にっがい,ニッガカッ,ニッガカッ
にっが	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,にっがい,ニッガ,ニッガ
