引き込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,引き込む,ヒキコミャ,ヒキコミャ
積み出せっ	動詞,自立,*,*,一段,基本縮約,積み出せる,ツミダセッ,ツミダセッ
くいのばしゃ	動詞,自立,*,*,五段・サ行,基本縮約,くいのばす,クイノバシャ,クイノバシャ
なずらえっ	動詞,自立,*,*,一段,基本縮約,なずらえる,ナズラエッ,ナズラエッ
乗り込めっ	動詞,自立,*,*,一段,基本縮約,乗り込める,ノリコメッ,ノリコメッ
しねっ	動詞,自立,*,*,一段,基本縮約,しねる,シネッ,シネッ
押し流せっ	動詞,自立,*,*,一段,基本縮約,押し流せる,オシナガセッ,オシナガセッ
模すっ	動詞,自立,*,*,サ変・−スル,基本縮約,模する,モスッ,モスッ
嘆きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,嘆く,ナゲキャ,ナゲキャ
しぐれっ	動詞,自立,*,*,一段,基本縮約,しぐれる,シグレッ,シグレッ
投げ飛ばせっ	動詞,自立,*,*,一段,基本縮約,投げ飛ばせる,ナゲトバセッ,ナゲトバセッ
起きっ	動詞,自立,*,*,一段,基本縮約,起きる,オキッ,オキッ
やけだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,やけだす,ヤケダシャ,ヤケダシャ
ふき取っ	動詞,自立,*,*,五段・ラ行,基本縮約,ふき取る,フキトッ,フキトッ
知れ渡っ	動詞,自立,*,*,五段・ラ行,基本縮約,知れ渡る,シレワタッ,シレワタッ
訳しゃ	動詞,自立,*,*,五段・サ行,基本縮約,訳す,ヤクシャ,ヤクシャ
住み込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,住み込む,スミコミャ,スミコミャ
荒れっ	動詞,自立,*,*,一段,基本縮約,荒れる,アレッ,アレッ
こごみゃ	動詞,自立,*,*,五段・マ行,基本縮約,こごむ,コゴミャ,コゴミャ
まつりあげっ	動詞,自立,*,*,一段,基本縮約,まつりあげる,マツリアゲッ,マツリアゲッ
休すっ	動詞,自立,*,*,サ変・−スル,基本縮約,休する,キュウスッ,キュースッ
あらわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,あらわす,アラワシャ,アラワシャ
智慧づきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,智慧づく,チエヅキャ,チエズキャ
生い茂っ	動詞,自立,*,*,五段・ラ行,基本縮約,生い茂る,オイシゲッ,オイシゲッ
垂れ篭めっ	動詞,自立,*,*,一段,基本縮約,垂れ篭める,タレコメッ,タレコメッ
翔びゃ	動詞,自立,*,*,五段・バ行,基本縮約,翔ぶ,トビャ,トビャ
あみあげっ	動詞,自立,*,*,一段,基本縮約,あみあげる,アミアゲッ,アミアゲッ
なまけっ	動詞,自立,*,*,一段,基本縮約,なまける,ナマケッ,ナマケッ
取り切れっ	動詞,自立,*,*,一段,基本縮約,取り切れる,トリキレッ,トリキレッ
もり立てっ	動詞,自立,*,*,一段,基本縮約,もり立てる,モリタテッ,モリタテッ
飲みほしゃ	動詞,自立,*,*,五段・サ行,基本縮約,飲みほす,ノミホシャ,ノミホシャ
まきこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,まきこむ,マキコミャ,マキコミャ
乗り回せっ	動詞,自立,*,*,一段,基本縮約,乗り回せる,ノリマワセッ,ノリマワセッ
すすりあげっ	動詞,自立,*,*,一段,基本縮約,すすりあげる,ススリアゲッ,ススリアゲッ
助け合えっ	動詞,自立,*,*,一段,基本縮約,助け合える,タスケアエッ,タスケアエッ
ものもうしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ものもうす,モノモウシャ,モノモーシャ
すてさっ	動詞,自立,*,*,五段・ラ行,基本縮約,すてさる,ステサッ,ステサッ
免じっ	動詞,自立,*,*,一段,基本縮約,免じる,メンジッ,メンジッ
うけだせっ	動詞,自立,*,*,一段,基本縮約,うけだせる,ウケダセッ,ウケダセッ
とりくめっ	動詞,自立,*,*,一段,基本縮約,とりくめる,トリクメッ,トリクメッ
受け持ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,受け持つ,ウケモチャ,ウケモチャ
振りほどきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,振りほどく,フリホドキャ,フリホドキャ
卒すっ	動詞,自立,*,*,サ変・−スル,基本縮約,卒する,ソッスッ,ソッスッ
つづりあわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,つづりあわす,ツヅリアワシャ,ツズリアワシャ
一皮剥けっ	動詞,自立,*,*,一段,基本縮約,一皮剥ける,ヒトカワムケッ,ヒトカワムケッ
先駆けっ	動詞,自立,*,*,一段,基本縮約,先駆ける,サキガケッ,サキガケッ
えらびだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,えらびだす,エラビダシャ,エラビダシャ
うちすえっ	動詞,自立,*,*,一段,基本縮約,うちすえる,ウチスエッ,ウチスエッ
使い込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,使い込む,ツカイコミャ,ツカイコミャ
さまたげっ	動詞,自立,*,*,一段,基本縮約,さまたげる,サマタゲッ,サマタゲッ
すたっ	動詞,自立,*,*,五段・ラ行,基本縮約,すたる,スタッ,スタッ
書すっ	動詞,自立,*,*,サ変・−スル,基本縮約,書する,ショスッ,ショスッ
不貞てっ	動詞,自立,*,*,一段,基本縮約,不貞てる,フテッ,フテッ
とびこめっ	動詞,自立,*,*,一段,基本縮約,とびこめる,トビコメッ,トビコメッ
見蕩れっ	動詞,自立,*,*,一段,基本縮約,見蕩れる,ミトレッ,ミトレッ
慥かめっ	動詞,自立,*,*,一段,基本縮約,慥かめる,タシカメッ,タシカメッ
つまみ上げっ	動詞,自立,*,*,一段,基本縮約,つまみ上げる,ツマミアゲッ,ツマミアゲッ
のましゃ	動詞,自立,*,*,五段・サ行,基本縮約,のます,ノマシャ,ノマシャ
涸らしゃ	動詞,自立,*,*,五段・サ行,基本縮約,涸らす,カラシャ,カラシャ
撰すっ	動詞,自立,*,*,サ変・−スル,基本縮約,撰する,センスッ,センスッ
寝かしつけっ	動詞,自立,*,*,一段,基本縮約,寝かしつける,ネカシツケッ,ネカシツケッ
歩きつめっ	動詞,自立,*,*,五段・ラ行,基本縮約,歩きつめる,アルキツメッ,アルキツメッ
診っ	動詞,自立,*,*,一段,基本縮約,診る,ミッ,ミッ
ぬいこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ぬいこむ,ヌイコミャ,ヌイコミャ
きりこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,きりこむ,キリコミャ,キリコミャ
膨らましゃ	動詞,自立,*,*,五段・サ行,基本縮約,膨らます,フクラマシャ,フクラマシャ
宿っ	動詞,自立,*,*,五段・ラ行,基本縮約,宿る,ヤドッ,ヤドッ
取りかかっ	動詞,自立,*,*,五段・ラ行,基本縮約,取りかかる,トリカカッ,トリカカッ
巻き返せっ	動詞,自立,*,*,一段,基本縮約,巻き返せる,マキカエセッ,マキカエセッ
すり込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,すり込む,スリコミャ,スリコミャ
追回しゃ	動詞,自立,*,*,五段・サ行,基本縮約,追回す,オイマワシャ,オイマワシャ
登れっ	動詞,自立,*,*,一段,基本縮約,登れる,ノボレッ,ノボレッ
差し立てっ	動詞,自立,*,*,一段,基本縮約,差し立てる,サシタテッ,サシタテッ
打ち勝てっ	動詞,自立,*,*,一段,基本縮約,打ち勝てる,ウチカテッ,ウチカテッ
ふきぬけっ	動詞,自立,*,*,一段,基本縮約,ふきぬける,フキヌケッ,フキヌケッ
切回しゃ	動詞,自立,*,*,五段・サ行,基本縮約,切回す,キリマワシャ,キリマワシャ
うつしゃ	動詞,自立,*,*,五段・サ行,基本縮約,うつす,ウツシャ,ウツシャ
つみだせっ	動詞,自立,*,*,一段,基本縮約,つみだせる,ツミダセッ,ツミダセッ
はいすっ	動詞,自立,*,*,サ変・−スル,基本縮約,はいする,ハイスッ,ハイスッ
裏切っ	動詞,自立,*,*,五段・ラ行,基本縮約,裏切る,ウラギッ,ウラギッ
かいきれっ	動詞,自立,*,*,一段,基本縮約,かいきれる,カイキレッ,カイキレッ
埋め込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,埋め込む,ウメコミャ,ウメコミャ
取りあわせっ	動詞,自立,*,*,一段,基本縮約,取りあわせる,トリアワセッ,トリアワセッ
閉め出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,閉め出す,シメダシャ,シメダシャ
騒がせっ	動詞,自立,*,*,一段,基本縮約,騒がせる,サワガセッ,サワガセッ
ほどこしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ほどこす,ホドコシャ,ホドコシャ
習わせっ	動詞,自立,*,*,一段,基本縮約,習わせる,ナラワセッ,ナラワセッ
ぬけだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ぬけだす,ヌケダシャ,ヌケダシャ
追越しゃ	動詞,自立,*,*,五段・サ行,基本縮約,追越す,オイコシャ,オイコシャ
ばらつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ばらつく,バラツキャ,バラツキャ
ばてっ	動詞,自立,*,*,一段,基本縮約,ばてる,バテッ,バテッ
傷付けっ	動詞,自立,*,*,一段,基本縮約,傷付ける,キズツケッ,キズツケッ
うちやぶれっ	動詞,自立,*,*,一段,基本縮約,うちやぶれる,ウチヤブレッ,ウチヤブレッ
ふきわけっ	動詞,自立,*,*,一段,基本縮約,ふきわける,フキワケッ,フキワケッ
棲みゃ	動詞,自立,*,*,五段・マ行,基本縮約,棲む,スミャ,スミャ
頻っ	動詞,自立,*,*,五段・ラ行,基本縮約,頻る,シキッ,シキッ
ねじ込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,ねじ込む,ネジコミャ,ネジコミャ
たてこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,たてこむ,タテコミャ,タテコミャ
いきゃ	動詞,自立,*,*,五段・カ行促音便,基本縮約,いく,イキャ,イキャ
ひずみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ひずむ,ヒズミャ,ヒズミャ
取り置きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,取り置く,トリオキャ,トリオキャ
はしゃぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,はしゃぐ,ハシャギャ,ハシャギャ
どかしゃ	動詞,自立,*,*,五段・サ行,基本縮約,どかす,ドカシャ,ドカシャ
あらわれっ	動詞,自立,*,*,一段,基本縮約,あらわれる,アラワレッ,アラワレッ
かりうけっ	動詞,自立,*,*,一段,基本縮約,かりうける,カリウケッ,カリウケッ
繰り寄せっ	動詞,自立,*,*,一段,基本縮約,繰り寄せる,クリヨセッ,クリヨセッ
まくれっ	動詞,自立,*,*,一段,基本縮約,まくれる,マクレッ,マクレッ
とりちらしゃ	動詞,自立,*,*,五段・サ行,基本縮約,とりちらす,トリチラシャ,トリチラシャ
ものなれっ	動詞,自立,*,*,一段,基本縮約,ものなれる,モノナレッ,モノナレッ
角ぐみゃ	動詞,自立,*,*,五段・マ行,基本縮約,角ぐむ,ツノグミャ,ツノグミャ
押し隠しゃ	動詞,自立,*,*,五段・サ行,基本縮約,押し隠す,オシカクシャ,オシカクシャ
取っ付きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,取っ付く,トッツキャ,トッツキャ
だすっ	動詞,自立,*,*,サ変・−スル,基本縮約,だする,ダスッ,ダスッ
絡げっ	動詞,自立,*,*,一段,基本縮約,絡げる,カラゲッ,カラゲッ
言い合せっ	動詞,自立,*,*,一段,基本縮約,言い合せる,イイアワセッ,イーアワセッ
かかげっ	動詞,自立,*,*,一段,基本縮約,かかげる,カカゲッ,カカゲッ
おいかえせっ	動詞,自立,*,*,一段,基本縮約,おいかえせる,オイカエセッ,オイカエセッ
かつぎ込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,かつぎ込む,カツギコミャ,カツギコミャ
切替えっ	動詞,自立,*,*,一段,基本縮約,切替える,キリカエッ,キリカエッ
軋みゃ	動詞,自立,*,*,五段・マ行,基本縮約,軋む,キシミャ,キシミャ
切り捲っ	動詞,自立,*,*,五段・ラ行,基本縮約,切り捲る,キリマクッ,キリマクッ
綻ばしゃ	動詞,自立,*,*,五段・サ行,基本縮約,綻ばす,ホコロバシャ,ホコロバシャ
しのびなきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,しのびなく,シノビナキャ,シノビナキャ
つくりだせっ	動詞,自立,*,*,一段,基本縮約,つくりだせる,ツクリダセッ,ツクリダセッ
ひきしぼれっ	動詞,自立,*,*,一段,基本縮約,ひきしぼれる,ヒキシボレッ,ヒキシボレッ
乗回しゃ	動詞,自立,*,*,五段・サ行,基本縮約,乗回す,ノリマワシャ,ノリマワシャ
かんじとっ	動詞,自立,*,*,五段・ラ行,基本縮約,かんじとる,カンジトッ,カンジトッ
控えっ	動詞,自立,*,*,一段,基本縮約,控える,ヒカエッ,ヒカエッ
わりびきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,わりびく,ワリビキャ,ワリビキャ
呼びいれっ	動詞,自立,*,*,一段,基本縮約,呼びいれる,ヨビイレッ,ヨビイレッ
切伏せっ	動詞,自立,*,*,一段,基本縮約,切伏せる,キリフセッ,キリフセッ
掻きたてっ	動詞,自立,*,*,一段,基本縮約,掻きたてる,カキタテッ,カキタテッ
煮えたちゃ	動詞,自立,*,*,五段・タ行,基本縮約,煮えたつ,ニエタチャ,ニエタチャ
住み着けっ	動詞,自立,*,*,一段,基本縮約,住み着ける,スミツケッ,スミツケッ
寝付きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,寝付く,ネツキャ,ネツキャ
念じっ	動詞,自立,*,*,一段,基本縮約,念じる,ネンジッ,ネンジッ
きりまわせっ	動詞,自立,*,*,一段,基本縮約,きりまわせる,キリマワセッ,キリマワセッ
吹っ切っ	動詞,自立,*,*,五段・ラ行,基本縮約,吹っ切る,フッキッ,フッキッ
甘ったれっ	動詞,自立,*,*,一段,基本縮約,甘ったれる,アマッタレッ,アマッタレッ
勝ち残っ	動詞,自立,*,*,五段・ラ行,基本縮約,勝ち残る,カチノコッ,カチノコッ
慌てっ	動詞,自立,*,*,一段,基本縮約,慌てる,アワテッ,アワテッ
癒せっ	動詞,自立,*,*,一段,基本縮約,癒せる,イヤセッ,イヤセッ
乗組みゃ	動詞,自立,*,*,五段・マ行,基本縮約,乗組む,ノリクミャ,ノリクミャ
咳き上げっ	動詞,自立,*,*,一段,基本縮約,咳き上げる,セキアゲッ,セキアゲッ
つきとめっ	動詞,自立,*,*,一段,基本縮約,つきとめる,ツキトメッ,ツキトメッ
潰れっ	動詞,自立,*,*,一段,基本縮約,潰れる,ツブレッ,ツブレッ
わりだせっ	動詞,自立,*,*,一段,基本縮約,わりだせる,ワリダセッ,ワリダセッ
博しゃ	動詞,自立,*,*,五段・サ行,基本縮約,博す,ハクシャ,ハクシャ
組み入れっ	動詞,自立,*,*,一段,基本縮約,組み入れる,クミイレッ,クミイレッ
かしぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,かしぐ,カシギャ,カシギャ
やり過ごせっ	動詞,自立,*,*,一段,基本縮約,やり過ごせる,ヤリスゴセッ,ヤリスゴセッ
崩ずっ	動詞,自立,*,*,サ変・−ズル,基本縮約,崩ずる,ホウズッ,ホーズッ
言いおきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,言いおく,イイオキャ,イーオキャ
有り余っ	動詞,自立,*,*,五段・ラ行,基本縮約,有り余る,アリアマッ,アリアマッ
わらいとばしゃ	動詞,自立,*,*,五段・サ行,基本縮約,わらいとばす,ワライトバシャ,ワライトバシャ
逃がしゃ	動詞,自立,*,*,五段・サ行,基本縮約,逃がす,ニガシャ,ニガシャ
ねじきっ	動詞,自立,*,*,五段・ラ行,基本縮約,ねじきる,ネジキッ,ネジキッ
神しずまっ	動詞,自立,*,*,五段・ラ行,基本縮約,神しずまる,カミシズマッ,カミシズマッ
やとえっ	動詞,自立,*,*,一段,基本縮約,やとえる,ヤトエッ,ヤトエッ
切り伏せっ	動詞,自立,*,*,一段,基本縮約,切り伏せる,キリフセッ,キリフセッ
滲みゃ	動詞,自立,*,*,五段・マ行,基本縮約,滲む,ニジミャ,ニジミャ
あせっ	動詞,自立,*,*,一段,基本縮約,あせる,アセッ,アセッ
ひょうすっ	動詞,自立,*,*,サ変・−スル,基本縮約,ひょうする,ヒョウスッ,ヒョースッ
吸取っ	動詞,自立,*,*,五段・ラ行,基本縮約,吸取る,スイトッ,スイトッ
よじのぼっ	動詞,自立,*,*,五段・ラ行,基本縮約,よじのぼる,ヨジノボッ,ヨジノボッ
殖やせっ	動詞,自立,*,*,一段,基本縮約,殖やせる,フヤセッ,フヤセッ
ちんずっ	動詞,自立,*,*,サ変・−ズル,基本縮約,ちんずる,チンズッ,チンズッ
またげっ	動詞,自立,*,*,一段,基本縮約,またげる,マタゲッ,マタゲッ
繰回しゃ	動詞,自立,*,*,五段・サ行,基本縮約,繰回す,クリマワシャ,クリマワシャ
笑わせっ	動詞,自立,*,*,一段,基本縮約,笑わせる,ワラワセッ,ワラワセッ
ふりしぼっ	動詞,自立,*,*,五段・ラ行,基本縮約,ふりしぼる,フリシボッ,フリシボッ
かつぎあげっ	動詞,自立,*,*,一段,基本縮約,かつぎあげる,カツギアゲッ,カツギアゲッ
使い切っ	動詞,自立,*,*,五段・ラ行,基本縮約,使い切る,ツカイキッ,ツカイキッ
脅しゃ	動詞,自立,*,*,五段・サ行,基本縮約,脅す,オドシャ,オドシャ
歩き疲れっ	動詞,自立,*,*,一段,基本縮約,歩き疲れる,アルキツカレッ,アルキツカレッ
かたよっ	動詞,自立,*,*,五段・ラ行,基本縮約,かたよる,カタヨッ,カタヨッ
裂けっ	動詞,自立,*,*,一段,基本縮約,裂ける,サケッ,サケッ
帰しゃ	動詞,自立,*,*,五段・サ行,基本縮約,帰す,キシャ,キシャ
帰しゃ	動詞,自立,*,*,五段・サ行,基本縮約,帰す,カエシャ,カエシャ
分っ	動詞,自立,*,*,五段・ラ行,基本縮約,分る,ワカッ,ワカッ
戦えっ	動詞,自立,*,*,一段,基本縮約,戦える,タタカエッ,タタカエッ
切りつめっ	動詞,自立,*,*,一段,基本縮約,切りつめる,キリツメッ,キリツメッ
言い表せっ	動詞,自立,*,*,一段,基本縮約,言い表せる,イイアラワセッ,イーアラワセッ
啼きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,啼く,ナキャ,ナキャ
たたみゃ	動詞,自立,*,*,五段・マ行,基本縮約,たたむ,タタミャ,タタミャ
おこたっ	動詞,自立,*,*,五段・ラ行,基本縮約,おこたる,オコタッ,オコタッ
せめっ	動詞,自立,*,*,一段,基本縮約,せめる,セメッ,セメッ
もちなおしゃ	動詞,自立,*,*,五段・サ行,基本縮約,もちなおす,モチナオシャ,モチナオシャ
譲り渡せっ	動詞,自立,*,*,一段,基本縮約,譲り渡せる,ユズリワタセッ,ユズリワタセッ
よみすっ	動詞,自立,*,*,サ変・−スル,基本縮約,よみする,ヨミスッ,ヨミスッ
彌増さっ	動詞,自立,*,*,五段・ラ行,基本縮約,彌増さる,イヤマサッ,イヤマサッ
やみゃ	動詞,自立,*,*,五段・マ行,基本縮約,やむ,ヤミャ,ヤミャ
長けっ	動詞,自立,*,*,一段,基本縮約,長ける,タケッ,タケッ
おとせっ	動詞,自立,*,*,一段,基本縮約,おとせる,オトセッ,オトセッ
きがまえっ	動詞,自立,*,*,一段,基本縮約,きがまえる,キガマエッ,キガマエッ
乗越しゃ	動詞,自立,*,*,五段・サ行,基本縮約,乗越す,ノリコシャ,ノリコシャ
見渡せっ	動詞,自立,*,*,一段,基本縮約,見渡せる,ミワタセッ,ミワタセッ
かくしもてっ	動詞,自立,*,*,一段,基本縮約,かくしもてる,カクシモテッ,カクシモテッ
かんがえっ	動詞,自立,*,*,一段,基本縮約,かんがえる,カンガエッ,カンガエッ
損すっ	動詞,自立,*,*,サ変・−スル,基本縮約,損する,ソンスッ,ソンスッ
うめきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,うめく,ウメキャ,ウメキャ
くらいつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,くらいつく,クライツキャ,クライツキャ
返せっ	動詞,自立,*,*,一段,基本縮約,返せる,カエセッ,カエセッ
すっこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,すっこむ,スッコミャ,スッコミャ
運べっ	動詞,自立,*,*,一段,基本縮約,運べる,ハコベッ,ハコベッ
まわっ	動詞,非自立,*,*,五段・ラ行,基本縮約,まわる,マワッ,マワッ
おとっ	動詞,自立,*,*,五段・ラ行,基本縮約,おとる,オトッ,オトッ
萌え出っ	動詞,自立,*,*,一段,基本縮約,萌え出る,モエデッ,モエデッ
晴渡っ	動詞,自立,*,*,五段・ラ行,基本縮約,晴渡る,ハレワタッ,ハレワタッ
果てっ	動詞,自立,*,*,一段,基本縮約,果てる,ハテッ,ハテッ
録すっ	動詞,自立,*,*,サ変・−スル,基本縮約,録する,ロクスッ,ロクスッ
移せっ	動詞,自立,*,*,一段,基本縮約,移せる,ウツセッ,ウツセッ
悄気げっ	動詞,自立,*,*,一段,基本縮約,悄気げる,ショゲッ,ショゲッ
言い返せっ	動詞,自立,*,*,一段,基本縮約,言い返せる,イイカエセッ,イーカエセッ
ぎんずっ	動詞,自立,*,*,サ変・−ズル,基本縮約,ぎんずる,ギンズッ,ギンズッ
止っ	動詞,自立,*,*,五段・ラ行,基本縮約,止る,トマッ,トマッ
みさげっ	動詞,自立,*,*,一段,基本縮約,みさげる,ミサゲッ,ミサゲッ
阻みゃ	動詞,自立,*,*,五段・マ行,基本縮約,阻む,ハバミャ,ハバミャ
来なさっ	動詞,自立,*,*,五段・ラ行,基本縮約,来なさる,キナサッ,キナサッ
折重なっ	動詞,自立,*,*,五段・ラ行,基本縮約,折重なる,オリカサナッ,オリカサナッ
ふっ飛びゃ	動詞,自立,*,*,五段・バ行,基本縮約,ふっ飛ぶ,フットビャ,フットビャ
通がっ	動詞,自立,*,*,五段・ラ行,基本縮約,通がる,ツウガッ,ツーガッ
てまどっ	動詞,自立,*,*,五段・ラ行,基本縮約,てまどる,テマドッ,テマドッ
しにはてっ	動詞,自立,*,*,一段,基本縮約,しにはてる,シニハテッ,シニハテッ
向かい合わしゃ	動詞,自立,*,*,五段・サ行,基本縮約,向かい合わす,ムカイアワシャ,ムカイアワシャ
当てはめっ	動詞,自立,*,*,一段,基本縮約,当てはめる,アテハメッ,アテハメッ
とびこせっ	動詞,自立,*,*,一段,基本縮約,とびこせる,トビコセッ,トビコセッ
ためっ	動詞,自立,*,*,一段,基本縮約,ためる,タメッ,タメッ
なきふしゃ	動詞,自立,*,*,五段・サ行,基本縮約,なきふす,ナキフシャ,ナキフシャ
ぬりたてっ	動詞,自立,*,*,一段,基本縮約,ぬりたてる,ヌリタテッ,ヌリタテッ
かたりあかせっ	動詞,自立,*,*,一段,基本縮約,かたりあかせる,カタリアカセッ,カタリアカセッ
接ぎ合せっ	動詞,自立,*,*,一段,基本縮約,接ぎ合せる,ハギアワセッ,ハギアワセッ
とりだせっ	動詞,自立,*,*,一段,基本縮約,とりだせる,トリダセッ,トリダセッ
募っ	動詞,自立,*,*,五段・ラ行,基本縮約,募る,ツノッ,ツノッ
ひっこぬきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ひっこぬく,ヒッコヌキャ,ヒッコヌキャ
つけ足しゃ	動詞,自立,*,*,五段・サ行,基本縮約,つけ足す,ツケタシャ,ツケタシャ
見通せっ	動詞,自立,*,*,一段,基本縮約,見通せる,ミトオセッ,ミトオセッ
みあきっ	動詞,自立,*,*,一段,基本縮約,みあきる,ミアキッ,ミアキッ
思いあまっ	動詞,自立,*,*,五段・ラ行,基本縮約,思いあまる,オモイアマッ,オモイアマッ
もれききゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,もれきく,モレキキャ,モレキキャ
ふゆごもっ	動詞,自立,*,*,五段・ラ行,基本縮約,ふゆごもる,フユゴモッ,フユゴモッ
飛び歩きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,飛び歩く,トビアルキャ,トビアルキャ
刷り込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,刷り込む,スリコミャ,スリコミャ
くいつめっ	動詞,自立,*,*,一段,基本縮約,くいつめる,クイツメッ,クイツメッ
くぐっ	動詞,自立,*,*,五段・ラ行,基本縮約,くぐる,クグッ,クグッ
いいきっ	動詞,自立,*,*,五段・ラ行,基本縮約,いいきる,イイキッ,イーキッ
かき合せっ	動詞,自立,*,*,一段,基本縮約,かき合せる,カキアワセッ,カキアワセッ
荒立てっ	動詞,自立,*,*,一段,基本縮約,荒立てる,アラダテッ,アラダテッ
閲すっ	動詞,自立,*,*,サ変・−スル,基本縮約,閲する,ケミスッ,ケミスッ
閲すっ	動詞,自立,*,*,サ変・−スル,基本縮約,閲する,エッスッ,エッスッ
焦げつかしゃ	動詞,自立,*,*,五段・サ行,基本縮約,焦げつかす,コゲツカシャ,コゲツカシャ
のりまわせっ	動詞,自立,*,*,一段,基本縮約,のりまわせる,ノリマワセッ,ノリマワセッ
隠しゃ	動詞,自立,*,*,五段・サ行,基本縮約,隠す,カクシャ,カクシャ
そだちゃ	動詞,自立,*,*,五段・タ行,基本縮約,そだつ,ソダチャ,ソダチャ
被えっ	動詞,自立,*,*,一段,基本縮約,被える,オオエッ,オオエッ
でっ	動詞,非自立,*,*,一段,基本縮約,でる,デッ,デッ
殴れっ	動詞,自立,*,*,一段,基本縮約,殴れる,ナグレッ,ナグレッ
洩れっ	動詞,自立,*,*,一段,基本縮約,洩れる,モレッ,モレッ
いびりだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,いびりだす,イビリダシャ,イビリダシャ
しがみつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,しがみつく,シガミツキャ,シガミツキャ
いただきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,いただく,イタダキャ,イタダキャ
打見っ	動詞,自立,*,*,一段,基本縮約,打見る,ウチミッ,ウチミッ
討取っ	動詞,自立,*,*,五段・ラ行,基本縮約,討取る,ウチトッ,ウチトッ
誤っ	動詞,自立,*,*,五段・ラ行,基本縮約,誤る,アヤマッ,アヤマッ
受流しゃ	動詞,自立,*,*,五段・サ行,基本縮約,受流す,ウケナガシャ,ウケナガシャ
責め立てっ	動詞,自立,*,*,一段,基本縮約,責め立てる,セメタテッ,セメタテッ
尋ねっ	動詞,自立,*,*,一段,基本縮約,尋ねる,タズネッ,タズネッ
かびっ	動詞,自立,*,*,一段,基本縮約,かびる,カビッ,カビッ
ほおばっ	動詞,自立,*,*,五段・ラ行,基本縮約,ほおばる,ホオバッ,ホーバッ
射抜きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,射抜く,イヌキャ,イヌキャ
啄みゃ	動詞,自立,*,*,五段・マ行,基本縮約,啄む,ツイバミャ,ツイバミャ
よりすがっ	動詞,自立,*,*,五段・ラ行,基本縮約,よりすがる,ヨリスガッ,ヨリスガッ
浸けっ	動詞,自立,*,*,一段,基本縮約,浸ける,ツケッ,ツケッ
撃ち破れっ	動詞,自立,*,*,一段,基本縮約,撃ち破れる,ウチヤブレッ,ウチヤブレッ
突合せっ	動詞,自立,*,*,一段,基本縮約,突合せる,ツキアワセッ,ツキアワセッ
立ち篭めっ	動詞,自立,*,*,一段,基本縮約,立ち篭める,タチコメッ,タチコメッ
のりだしゃ	動詞,自立,*,*,五段・サ行,基本縮約,のりだす,ノリダシャ,ノリダシャ
立ちつくしゃ	動詞,自立,*,*,五段・サ行,基本縮約,立ちつくす,タチツクシャ,タチツクシャ
吹き分けっ	動詞,自立,*,*,一段,基本縮約,吹き分ける,フキワケッ,フキワケッ
