とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
いら立たん	動詞,自立,*,*,五段・タ行,未然特殊,いら立つ,イラダタン,イラダタン
くり出さん	動詞,自立,*,*,五段・サ行,未然特殊,くり出す,クリダサン,クリダサン
呼ばん	動詞,自立,*,*,五段・バ行,未然特殊,呼ぶ,ヨバン,ヨバン
書出さん	動詞,自立,*,*,五段・サ行,未然特殊,書出す,カキダサン,カキダサン
そりおとさん	動詞,自立,*,*,五段・サ行,未然特殊,そりおとす,ソリオトサン,ソリオトサン
好まん	動詞,自立,*,*,五段・マ行,未然特殊,好む,コノマン,コノマン
どやさん	動詞,自立,*,*,五段・サ行,未然特殊,どやす,ドヤサン,ドヤサン
住まん	動詞,自立,*,*,五段・マ行,未然特殊,住む,スマン,スマン
おかさん	動詞,自立,*,*,五段・サ行,未然特殊,おかす,オカサン,オカサン
あまさん	動詞,自立,*,*,五段・サ行,未然特殊,あます,アマサン,アマサン
あわれまん	動詞,自立,*,*,五段・マ行,未然特殊,あわれむ,アワレマン,アワレマン
うちあわさん	動詞,自立,*,*,五段・サ行,未然特殊,うちあわす,ウチアワサン,ウチアワサン
こもどさん	動詞,自立,*,*,五段・サ行,未然特殊,こもどす,コモドサン,コモドサン
練直さん	動詞,自立,*,*,五段・サ行,未然特殊,練直す,ネリナオサン,ネリナオサン
生かさん	動詞,自立,*,*,五段・サ行,未然特殊,生かす,イカサン,イカサン
進まん	動詞,自立,*,*,五段・マ行,未然特殊,進む,ススマン,ススマン
めしぐさん	動詞,自立,*,*,五段・サ行,未然特殊,めしぐす,メシグサン,メシグサン
汚さん	動詞,自立,*,*,五段・サ行,未然特殊,汚す,ヨゴサン,ヨゴサン
汚さん	動詞,自立,*,*,五段・サ行,未然特殊,汚す,ケガサン,ケガサン
選ばん	動詞,自立,*,*,五段・バ行,未然特殊,選ぶ,エラバン,エラバン
かぎださん	動詞,自立,*,*,五段・サ行,未然特殊,かぎだす,カギダサン,カギダサン
紛らさん	動詞,自立,*,*,五段・サ行,未然特殊,紛らす,マギラサン,マギラサン
詰めこまん	動詞,自立,*,*,五段・マ行,未然特殊,詰めこむ,ツメコマン,ツメコマン
見過さん	動詞,自立,*,*,五段・サ行,未然特殊,見過す,ミスゴサン,ミスゴサン
巻き込まん	動詞,自立,*,*,五段・マ行,未然特殊,巻き込む,マキコマン,マキコマン
ときほぐさん	動詞,自立,*,*,五段・サ行,未然特殊,ときほぐす,トキホグサン,トキホグサン
うりとばさん	動詞,自立,*,*,五段・サ行,未然特殊,うりとばす,ウリトバサン,ウリトバサン
しずまん	動詞,自立,*,*,五段・マ行,未然特殊,しずむ,シズマン,シズマン
切り結ばん	動詞,自立,*,*,五段・バ行,未然特殊,切り結ぶ,キリムスバン,キリムスバン
つまみださん	動詞,自立,*,*,五段・サ行,未然特殊,つまみだす,ツマミダサン,ツマミダサン
安らがん	動詞,自立,*,*,五段・ガ行,未然特殊,安らぐ,ヤスラガン,ヤスラガン
瞬がん	動詞,自立,*,*,五段・ガ行,未然特殊,瞬ぐ,マジロガン,マジロガン
おちくぼまん	動詞,自立,*,*,五段・マ行,未然特殊,おちくぼむ,オチクボマン,オチクボマン
廻らさん	動詞,自立,*,*,五段・サ行,未然特殊,廻らす,メグラサン,メグラサン
めかさん	動詞,自立,*,*,五段・サ行,未然特殊,めかす,メカサン,メカサン
にえたたん	動詞,自立,*,*,五段・タ行,未然特殊,にえたつ,ニエタタン,ニエタタン
涼まん	動詞,自立,*,*,五段・マ行,未然特殊,涼む,スズマン,スズマン
燃えたたん	動詞,自立,*,*,五段・タ行,未然特殊,燃えたつ,モエタタン,モエタタン
あがりこまん	動詞,自立,*,*,五段・マ行,未然特殊,あがりこむ,アガリコマン,アガリコマン
かつぎこまん	動詞,自立,*,*,五段・マ行,未然特殊,かつぎこむ,カツギコマン,カツギコマン
ほかさん	動詞,自立,*,*,五段・サ行,未然特殊,ほかす,ホカサン,ホカサン
諭さん	動詞,自立,*,*,五段・サ行,未然特殊,諭す,サトサン,サトサン
取りまわさん	動詞,自立,*,*,五段・サ行,未然特殊,取りまわす,トリマワサン,トリマワサン
おしまん	動詞,自立,*,*,五段・マ行,未然特殊,おしむ,オシマン,オシマン
みだれとばん	動詞,自立,*,*,五段・バ行,未然特殊,みだれとぶ,ミダレトバン,ミダレトバン
買い進まん	動詞,自立,*,*,五段・マ行,未然特殊,買い進む,カイススマン,カイススマン
いたさん	動詞,自立,*,*,五段・サ行,未然特殊,いたす,イタサン,イタサン
取り崩さん	動詞,自立,*,*,五段・サ行,未然特殊,取り崩す,トリクズサン,トリクズサン
あらいおとさん	動詞,自立,*,*,五段・サ行,未然特殊,あらいおとす,アライオトサン,アライオトサン
蹴倒さん	動詞,自立,*,*,五段・サ行,未然特殊,蹴倒す,ケタオサン,ケタオサン
まなばん	動詞,自立,*,*,五段・バ行,未然特殊,まなぶ,マナバン,マナバン
あおばまん	動詞,自立,*,*,五段・マ行,未然特殊,あおばむ,アオバマン,アオバマン
研ぎ澄まさん	動詞,自立,*,*,五段・サ行,未然特殊,研ぎ澄ます,トギスマサン,トギスマサン
書き古さん	動詞,自立,*,*,五段・サ行,未然特殊,書き古す,カキフルサン,カキフルサン
相次がん	動詞,自立,*,*,五段・ガ行,未然特殊,相次ぐ,アイツガン,アイツガン
刺し殺さん	動詞,自立,*,*,五段・サ行,未然特殊,刺し殺す,サシコロサン,サシコロサン
追いちらさん	動詞,自立,*,*,五段・サ行,未然特殊,追いちらす,オイチラサン,オイチラサン
とりみださん	動詞,自立,*,*,五段・サ行,未然特殊,とりみだす,トリミダサン,トリミダサン
おもほさん	動詞,自立,*,*,五段・サ行,未然特殊,おもほす,オモホサン,オモホサン
殴り飛ばさん	動詞,自立,*,*,五段・サ行,未然特殊,殴り飛ばす,ナグリトバサン,ナグリトバサン
坐さん	動詞,自立,*,*,五段・サ行,未然特殊,坐す,ザサン,ザサン
取りつがん	動詞,自立,*,*,五段・ガ行,未然特殊,取りつぐ,トリツガン,トリツガン
延ばさん	動詞,自立,*,*,五段・サ行,未然特殊,延ばす,ノバサン,ノバサン
うりつくさん	動詞,自立,*,*,五段・サ行,未然特殊,うりつくす,ウリツクサン,ウリツクサン
ふりはなさん	動詞,自立,*,*,五段・サ行,未然特殊,ふりはなす,フリハナサン,フリハナサン
ぶっ飛ばさん	動詞,自立,*,*,五段・サ行,未然特殊,ぶっ飛ばす,ブットバサン,ブットバサン
おぼえこまん	動詞,自立,*,*,五段・マ行,未然特殊,おぼえこむ,オボエコマン,オボエコマン
保たん	動詞,自立,*,*,五段・タ行,未然特殊,保つ,タモタン,タモタン
紡がん	動詞,自立,*,*,五段・ガ行,未然特殊,紡ぐ,ツムガン,ツムガン
切返さん	動詞,自立,*,*,五段・サ行,未然特殊,切返す,キリカエサン,キリカエサン
へがさん	動詞,自立,*,*,五段・サ行,未然特殊,へがす,ヘガサン,ヘガサン
戦がさん	動詞,自立,*,*,五段・サ行,未然特殊,戦がす,ソヨガサン,ソヨガサン
飲み明かさん	動詞,自立,*,*,五段・サ行,未然特殊,飲み明かす,ノミアカサン,ノミアカサン
打ち込まん	動詞,自立,*,*,五段・マ行,未然特殊,打ち込む,ウチコマン,ウチコマン
成すまさん	動詞,自立,*,*,五段・サ行,未然特殊,成すます,ナリスマサン,ナリスマサン
はね返さん	動詞,自立,*,*,五段・サ行,未然特殊,はね返す,ハネカエサン,ハネカエサン
さっきだたん	動詞,自立,*,*,五段・タ行,未然特殊,さっきだつ,サッキダタン,サッキダタン
押し流さん	動詞,自立,*,*,五段・サ行,未然特殊,押し流す,オシナガサン,オシナガサン
隠し持たん	動詞,自立,*,*,五段・タ行,未然特殊,隠し持つ,カクシモタン,カクシモタン
だましこまん	動詞,自立,*,*,五段・マ行,未然特殊,だましこむ,ダマシコマン,ダマシコマン
きりきざまん	動詞,自立,*,*,五段・マ行,未然特殊,きりきざむ,キリキザマン,キリキザマン
走り出さん	動詞,自立,*,*,五段・サ行,未然特殊,走り出す,ハシリダサン,ハシリダサン
取廻さん	動詞,自立,*,*,五段・サ行,未然特殊,取廻す,トリマワサン,トリマワサン
うるまん	動詞,自立,*,*,五段・マ行,未然特殊,うるむ,ウルマン,ウルマン
漕がん	動詞,自立,*,*,五段・ガ行,未然特殊,漕ぐ,コガン,コガン
担わさん	動詞,自立,*,*,五段・サ行,未然特殊,担わす,ニナワサン,ニナワサン
めしださん	動詞,自立,*,*,五段・サ行,未然特殊,めしだす,メシダサン,メシダサン
たぎたん	動詞,自立,*,*,五段・タ行,未然特殊,たぎつ,タギタン,タギタン
みつけださん	動詞,自立,*,*,五段・サ行,未然特殊,みつけだす,ミツケダサン,ミツケダサン
こげつかさん	動詞,自立,*,*,五段・サ行,未然特殊,こげつかす,コゲツカサン,コゲツカサン
かいさん	動詞,自立,*,*,五段・サ行,未然特殊,かいす,カイサン,カイサン
消さん	動詞,自立,*,*,五段・サ行,未然特殊,消す,ケサン,ケサン
うりこまん	動詞,自立,*,*,五段・マ行,未然特殊,うりこむ,ウリコマン,ウリコマン
擂りつぶさん	動詞,自立,*,*,五段・サ行,未然特殊,擂りつぶす,スリツブサン,スリツブサン
取直さん	動詞,自立,*,*,五段・サ行,未然特殊,取直す,トリナオサン,トリナオサン
のりあわさん	動詞,自立,*,*,五段・サ行,未然特殊,のりあわす,ノリアワサン,ノリアワサン
巻込まん	動詞,自立,*,*,五段・マ行,未然特殊,巻込む,マキコマン,マキコマン
まちあぐまん	動詞,自立,*,*,五段・マ行,未然特殊,まちあぐむ,マチアグマン,マチアグマン
組まん	動詞,自立,*,*,五段・マ行,未然特殊,組む,クマン,クマン
差し越さん	動詞,自立,*,*,五段・サ行,未然特殊,差し越す,サシコサン,サシコサン
まぎらかさん	動詞,自立,*,*,五段・サ行,未然特殊,まぎらかす,マギラカサン,マギラカサン
ひかさん	動詞,自立,*,*,五段・サ行,未然特殊,ひかす,ヒカサン,ヒカサン
悄気込まん	動詞,自立,*,*,五段・マ行,未然特殊,悄気込む,ショゲコマン,ショゲコマン
引っ繰り返さん	動詞,自立,*,*,五段・サ行,未然特殊,引っ繰り返す,ヒックリカエサン,ヒックリカエサン
つけこまん	動詞,自立,*,*,五段・マ行,未然特殊,つけこむ,ツケコマン,ツケコマン
そめかえさん	動詞,自立,*,*,五段・サ行,未然特殊,そめかえす,ソメカエサン,ソメカエサン
ききながさん	動詞,自立,*,*,五段・サ行,未然特殊,ききながす,キキナガサン,キキナガサン
かきみださん	動詞,自立,*,*,五段・サ行,未然特殊,かきみだす,カキミダサン,カキミダサン
脅かさん	動詞,自立,*,*,五段・サ行,未然特殊,脅かす,オビヤカサン,オビヤカサン
脅かさん	動詞,自立,*,*,五段・サ行,未然特殊,脅かす,オドカサン,オドカサン
やすまん	動詞,自立,*,*,五段・マ行,未然特殊,やすむ,ヤスマン,ヤスマン
溶け込まん	動詞,自立,*,*,五段・マ行,未然特殊,溶け込む,トケコマン,トケコマン
済まさん	動詞,自立,*,*,五段・サ行,未然特殊,済ます,スマサン,スマサン
かんがえこまん	動詞,自立,*,*,五段・マ行,未然特殊,かんがえこむ,カンガエコマン,カンガエコマン
居並ばん	動詞,自立,*,*,五段・バ行,未然特殊,居並ぶ,イナラバン,イナラバン
見過ごさん	動詞,自立,*,*,五段・サ行,未然特殊,見過ごす,ミスゴサン,ミスゴサン
つのめだたん	動詞,自立,*,*,五段・タ行,未然特殊,つのめだつ,ツノメダタン,ツノメダタン
のみつぶさん	動詞,自立,*,*,五段・サ行,未然特殊,のみつぶす,ノミツブサン,ノミツブサン
かきふるさん	動詞,自立,*,*,五段・サ行,未然特殊,かきふるす,カキフルサン,カキフルサン
旅立たん	動詞,自立,*,*,五段・タ行,未然特殊,旅立つ,タビダタン,タビダタン
踏まん	動詞,自立,*,*,五段・マ行,未然特殊,踏む,フマン,フマン
うかばん	動詞,自立,*,*,五段・バ行,未然特殊,うかぶ,ウカバン,ウカバン
ぶち込まん	動詞,自立,*,*,五段・マ行,未然特殊,ぶち込む,ブチコマン,ブチコマン
いなさん	動詞,自立,*,*,五段・サ行,未然特殊,いなす,イナサン,イナサン
総毛立たん	動詞,自立,*,*,五段・タ行,未然特殊,総毛立つ,ソウケダタ,ソーケダタ
かさん	動詞,自立,*,*,五段・サ行,未然特殊,かす,カサン,カサン
流れ出さん	動詞,自立,*,*,五段・サ行,未然特殊,流れ出す,ナガレダサン,ナガレダサン
経たん	動詞,自立,*,*,五段・タ行,未然特殊,経つ,タタン,タタン
くちずさまん	動詞,自立,*,*,五段・マ行,未然特殊,くちずさむ,クチズサマン,クチズサマン
潤さん	動詞,自立,*,*,五段・サ行,未然特殊,潤す,ウルオサン,ウルオサン
いきおいこまん	動詞,自立,*,*,五段・マ行,未然特殊,いきおいこむ,イキオイコマン,イキオイコマン
なじまん	動詞,自立,*,*,五段・マ行,未然特殊,なじむ,ナジマン,ナジマン
ふるいたたん	動詞,自立,*,*,五段・タ行,未然特殊,ふるいたつ,フルイタタン,フルイタタン
しるさん	動詞,自立,*,*,五段・サ行,未然特殊,しるす,シルサン,シルサン
建て直さん	動詞,自立,*,*,五段・サ行,未然特殊,建て直す,タテナオサン,タテナオサン
足さん	動詞,自立,*,*,五段・サ行,未然特殊,足す,タサン,タサン
せり出さん	動詞,自立,*,*,五段・サ行,未然特殊,せり出す,セリダサン,セリダサン
芽だたん	動詞,自立,*,*,五段・タ行,未然特殊,芽だつ,メダタン,メダタン
めり込まん	動詞,自立,*,*,五段・マ行,未然特殊,めり込む,メリコマン,メリコマン
ついばまん	動詞,自立,*,*,五段・マ行,未然特殊,ついばむ,ツイバマン,ツイバマン
引離さん	動詞,自立,*,*,五段・サ行,未然特殊,引離す,ヒキハナサン,ヒキハナサン
泣きはらさん	動詞,自立,*,*,五段・サ行,未然特殊,泣きはらす,ナキハラサン,ナキハラサン
取離さん	動詞,自立,*,*,五段・サ行,未然特殊,取離す,トリハナサン,トリハナサン
取り壊さん	動詞,自立,*,*,五段・サ行,未然特殊,取り壊す,トリコワサン,トリコワサン
でなおさん	動詞,自立,*,*,五段・サ行,未然特殊,でなおす,デナオサン,デナオサン
おしたおさん	動詞,自立,*,*,五段・サ行,未然特殊,おしたおす,オシタオサン,オシタオサン
継がん	動詞,自立,*,*,五段・ガ行,未然特殊,継ぐ,ツガン,ツガン
詰まん	動詞,自立,*,*,五段・マ行,未然特殊,詰む,ツマン,ツマン
粟立たん	動詞,自立,*,*,五段・タ行,未然特殊,粟立つ,アワダタン,アワダタン
使いこなさん	動詞,自立,*,*,五段・サ行,未然特殊,使いこなす,ツカイコナサン,ツカイコナサン
よびもどさん	動詞,自立,*,*,五段・サ行,未然特殊,よびもどす,ヨビモドサン,ヨビモドサン
取りもたん	動詞,自立,*,*,五段・タ行,未然特殊,取りもつ,トリモタン,トリモタン
かけあわさん	動詞,自立,*,*,五段・サ行,未然特殊,かけあわす,カケアワサン,カケアワサン
終わらさん	動詞,自立,*,*,五段・サ行,未然特殊,終わらす,オワラサン,オワラサン
見い出さん	動詞,自立,*,*,五段・サ行,未然特殊,見い出す,ミイダサン,ミイダサン
うみおとさん	動詞,自立,*,*,五段・サ行,未然特殊,うみおとす,ウミオトサン,ウミオトサン
伏し拝まん	動詞,自立,*,*,五段・マ行,未然特殊,伏し拝む,フシオガマン,フシオガマン
取り結ばん	動詞,自立,*,*,五段・バ行,未然特殊,取り結ぶ,トリムスバン,トリムスバン
のりくまん	動詞,自立,*,*,五段・マ行,未然特殊,のりくむ,ノリクマン,ノリクマン
企まん	動詞,自立,*,*,五段・マ行,未然特殊,企む,タクラマン,タクラマン
独りごたん	動詞,自立,*,*,五段・タ行,未然特殊,独りごつ,ヒトリゴタン,ヒトリゴタン
なくさん	動詞,自立,*,*,五段・サ行,未然特殊,なくす,ナクサン,ナクサン
尖らさん	動詞,自立,*,*,五段・サ行,未然特殊,尖らす,トガラサン,トガラサン
吹きとばさん	動詞,自立,*,*,五段・サ行,未然特殊,吹きとばす,フキトバサン,フキトバサン
潜まん	動詞,自立,*,*,五段・マ行,未然特殊,潜む,ヒソマン,ヒソマン
質さん	動詞,自立,*,*,五段・サ行,未然特殊,質す,タダサン,タダサン
取り回さん	動詞,自立,*,*,五段・サ行,未然特殊,取り回す,トリマワサン,トリマワサン
勝ち進まん	動詞,自立,*,*,五段・マ行,未然特殊,勝ち進む,カチススマン,カチススマン
見下さん	動詞,自立,*,*,五段・サ行,未然特殊,見下す,ミクダサン,ミクダサン
うちしずまん	動詞,自立,*,*,五段・マ行,未然特殊,うちしずむ,ウチシズマン,ウチシズマン
をろがまん	動詞,自立,*,*,五段・マ行,未然特殊,をろがむ,ヲロガマン,オロガマン
ふうじこまん	動詞,自立,*,*,五段・マ行,未然特殊,ふうじこむ,フウジコマ,フージコマ
おわさん	動詞,自立,*,*,五段・サ行,未然特殊,おわす,オワサン,オワサン
なぐさまん	動詞,自立,*,*,五段・マ行,未然特殊,なぐさむ,ナグサマン,ナグサマン
伏し沈まん	動詞,自立,*,*,五段・マ行,未然特殊,伏し沈む,フシシズマン,フシシズマン
はくさん	動詞,自立,*,*,五段・サ行,未然特殊,はくす,ハクサン,ハクサン
規則立たん	動詞,自立,*,*,五段・タ行,未然特殊,規則立つ,キソクダタン,キソクダタン
とりこさん	動詞,自立,*,*,五段・サ行,未然特殊,とりこす,トリコサン,トリコサン
立て直さん	動詞,自立,*,*,五段・サ行,未然特殊,立て直す,タテナオサン,タテナオサン
みおとさん	動詞,自立,*,*,五段・サ行,未然特殊,みおとす,ミオトサン,ミオトサン
かいこさん	動詞,自立,*,*,五段・サ行,未然特殊,かいこす,カイコサン,カイコサン
ひきまわさん	動詞,自立,*,*,五段・サ行,未然特殊,ひきまわす,ヒキマワサン,ヒキマワサン
和まん	動詞,自立,*,*,五段・マ行,未然特殊,和む,ナゴマン,ナゴマン
くらさん	動詞,自立,*,*,五段・サ行,未然特殊,くらす,クラサン,クラサン
きりむすばん	動詞,自立,*,*,五段・バ行,未然特殊,きりむすぶ,キリムスバン,キリムスバン
くみ出さん	動詞,自立,*,*,五段・サ行,未然特殊,くみ出す,クミダサン,クミダサン
歪まん	動詞,自立,*,*,五段・マ行,未然特殊,歪む,イガマン,イガマン
歪まん	動詞,自立,*,*,五段・マ行,未然特殊,歪む,ヒズマン,ヒズマン
歪まん	動詞,自立,*,*,五段・マ行,未然特殊,歪む,ユガマン,ユガマン
抜かさん	動詞,自立,*,*,五段・サ行,未然特殊,抜かす,ヌカサン,ヌカサン
ぬるまん	動詞,自立,*,*,五段・マ行,未然特殊,ぬるむ,ヌルマン,ヌルマン
もみ消さん	動詞,自立,*,*,五段・サ行,未然特殊,もみ消す,モミケサン,モミケサン
かっとばさん	動詞,自立,*,*,五段・サ行,未然特殊,かっとばす,カットバサン,カットバサン
差し回さん	動詞,自立,*,*,五段・サ行,未然特殊,差し回す,サシマワサン,サシマワサン
いいかえさん	動詞,自立,*,*,五段・サ行,未然特殊,いいかえす,イイカエサ,イーカエサ
減らさん	動詞,自立,*,*,五段・サ行,未然特殊,減らす,ヘラサン,ヘラサン
偲ばん	動詞,自立,*,*,五段・バ行,未然特殊,偲ぶ,シノバン,シノバン
張り倒さん	動詞,自立,*,*,五段・サ行,未然特殊,張り倒す,ハリタオサン,ハリタオサン
うりなやまん	動詞,自立,*,*,五段・マ行,未然特殊,うりなやむ,ウリナヤマン,ウリナヤマン
ふきこまん	動詞,自立,*,*,五段・マ行,未然特殊,ふきこむ,フキコマン,フキコマン
飛びださん	動詞,自立,*,*,五段・サ行,未然特殊,飛びだす,トビダサン,トビダサン
噛みころさん	動詞,自立,*,*,五段・サ行,未然特殊,噛みころす,カミコロサン,カミコロサン
ズレ込まん	動詞,自立,*,*,五段・マ行,未然特殊,ズレ込む,ズレコマン,ズレコマン
成さん	動詞,自立,*,*,五段・サ行,未然特殊,成す,ナサン,ナサン
覚え込まん	動詞,自立,*,*,五段・マ行,未然特殊,覚え込む,オボエコマン,オボエコマン
おくりださん	動詞,自立,*,*,五段・サ行,未然特殊,おくりだす,オクリダサン,オクリダサン
はぎ合わさん	動詞,自立,*,*,五段・サ行,未然特殊,はぎ合わす,ハギアワサン,ハギアワサン
咽ばん	動詞,自立,*,*,五段・バ行,未然特殊,咽ぶ,ムセバン,ムセバン
慶ばん	動詞,自立,*,*,五段・バ行,未然特殊,慶ぶ,ヨロコバン,ヨロコバン
張回さん	動詞,自立,*,*,五段・サ行,未然特殊,張回す,ハリマワサン,ハリマワサン
根差さん	動詞,自立,*,*,五段・サ行,未然特殊,根差す,ネザサン,ネザサン
蝕まん	動詞,自立,*,*,五段・マ行,未然特殊,蝕む,ムシバマン,ムシバマン
たくさん	動詞,自立,*,*,五段・サ行,未然特殊,たくす,タクサン,タクサン
押し出さん	動詞,自立,*,*,五段・サ行,未然特殊,押し出す,オシダサン,オシダサン
いどまん	動詞,自立,*,*,五段・マ行,未然特殊,いどむ,イドマン,イドマン
がいさん	動詞,自立,*,*,五段・サ行,未然特殊,がいす,ガイサン,ガイサン
見おろさん	動詞,自立,*,*,五段・サ行,未然特殊,見おろす,ミオロサン,ミオロサン
投げ込まん	動詞,自立,*,*,五段・マ行,未然特殊,投げ込む,ナゲコマン,ナゲコマン
波うたん	動詞,自立,*,*,五段・タ行,未然特殊,波うつ,ナミウタン,ナミウタン
はりとばさん	動詞,自立,*,*,五段・サ行,未然特殊,はりとばす,ハリトバサン,ハリトバサン
織りなさん	動詞,自立,*,*,五段・サ行,未然特殊,織りなす,オリナサン,オリナサン
投げ飛ばさん	動詞,自立,*,*,五段・サ行,未然特殊,投げ飛ばす,ナゲトバサン,ナゲトバサン
だきおこさん	動詞,自立,*,*,五段・サ行,未然特殊,だきおこす,ダキオコサン,ダキオコサン
押隠さん	動詞,自立,*,*,五段・サ行,未然特殊,押隠す,オシカクサン,オシカクサン
脱さん	動詞,自立,*,*,五段・サ行,未然特殊,脱す,ダッサン,ダッサン
読まん	動詞,自立,*,*,五段・マ行,未然特殊,読む,ヨマン,ヨマン
もちこさん	動詞,自立,*,*,五段・サ行,未然特殊,もちこす,モチコサン,モチコサン
割込まん	動詞,自立,*,*,五段・マ行,未然特殊,割込む,ワリコマン,ワリコマン
もつれ込まん	動詞,自立,*,*,五段・マ行,未然特殊,もつれ込む,モツレコマン,モツレコマン
ひれ伏さん	動詞,自立,*,*,五段・サ行,未然特殊,ひれ伏す,ヒレフサン,ヒレフサン
出立たん	動詞,自立,*,*,五段・タ行,未然特殊,出立つ,イデタタン,イデタタン
温まん	動詞,自立,*,*,五段・マ行,未然特殊,温む,ヌルマン,ヌルマン
はばまん	動詞,自立,*,*,五段・マ行,未然特殊,はばむ,ハバマン,ハバマン
くいのばさん	動詞,自立,*,*,五段・サ行,未然特殊,くいのばす,クイノバサン,クイノバサン
やけださん	動詞,自立,*,*,五段・サ行,未然特殊,やけだす,ヤケダサン,ヤケダサン
訳さん	動詞,自立,*,*,五段・サ行,未然特殊,訳す,ヤクサン,ヤクサン
住み込まん	動詞,自立,*,*,五段・マ行,未然特殊,住み込む,スミコマン,スミコマン
こごまん	動詞,自立,*,*,五段・マ行,未然特殊,こごむ,コゴマン,コゴマン
あらわさん	動詞,自立,*,*,五段・サ行,未然特殊,あらわす,アラワサン,アラワサン
翔ばん	動詞,自立,*,*,五段・バ行,未然特殊,翔ぶ,トバン,トバン
飲みほさん	動詞,自立,*,*,五段・サ行,未然特殊,飲みほす,ノミホサン,ノミホサン
まきこまん	動詞,自立,*,*,五段・マ行,未然特殊,まきこむ,マキコマン,マキコマン
ものもうさん	動詞,自立,*,*,五段・サ行,未然特殊,ものもうす,モノモウサ,モノモーサ
受け持たん	動詞,自立,*,*,五段・タ行,未然特殊,受け持つ,ウケモタン,ウケモタン
つづりあわさん	動詞,自立,*,*,五段・サ行,未然特殊,つづりあわす,ツヅリアワサン,ツズリアワサン
えらびださん	動詞,自立,*,*,五段・サ行,未然特殊,えらびだす,エラビダサン,エラビダサン
使い込まん	動詞,自立,*,*,五段・マ行,未然特殊,使い込む,ツカイコマン,ツカイコマン
のまさん	動詞,自立,*,*,五段・サ行,未然特殊,のます,ノマサン,ノマサン
涸らさん	動詞,自立,*,*,五段・サ行,未然特殊,涸らす,カラサン,カラサン
ぬいこまん	動詞,自立,*,*,五段・マ行,未然特殊,ぬいこむ,ヌイコマン,ヌイコマン
きりこまん	動詞,自立,*,*,五段・マ行,未然特殊,きりこむ,キリコマン,キリコマン
膨らまさん	動詞,自立,*,*,五段・サ行,未然特殊,膨らます,フクラマサン,フクラマサン
すり込まん	動詞,自立,*,*,五段・マ行,未然特殊,すり込む,スリコマン,スリコマン
追回さん	動詞,自立,*,*,五段・サ行,未然特殊,追回す,オイマワサン,オイマワサン
切回さん	動詞,自立,*,*,五段・サ行,未然特殊,切回す,キリマワサン,キリマワサン
うつさん	動詞,自立,*,*,五段・サ行,未然特殊,うつす,ウツサン,ウツサン
埋め込まん	動詞,自立,*,*,五段・マ行,未然特殊,埋め込む,ウメコマン,ウメコマン
閉め出さん	動詞,自立,*,*,五段・サ行,未然特殊,閉め出す,シメダサン,シメダサン
ほどこさん	動詞,自立,*,*,五段・サ行,未然特殊,ほどこす,ホドコサン,ホドコサン
ぬけださん	動詞,自立,*,*,五段・サ行,未然特殊,ぬけだす,ヌケダサン,ヌケダサン
追越さん	動詞,自立,*,*,五段・サ行,未然特殊,追越す,オイコサン,オイコサン
棲まん	動詞,自立,*,*,五段・マ行,未然特殊,棲む,スマン,スマン
ねじ込まん	動詞,自立,*,*,五段・マ行,未然特殊,ねじ込む,ネジコマン,ネジコマン
たてこまん	動詞,自立,*,*,五段・マ行,未然特殊,たてこむ,タテコマン,タテコマン
ひずまん	動詞,自立,*,*,五段・マ行,未然特殊,ひずむ,ヒズマン,ヒズマン
はしゃがん	動詞,自立,*,*,五段・ガ行,未然特殊,はしゃぐ,ハシャガン,ハシャガン
どかさん	動詞,自立,*,*,五段・サ行,未然特殊,どかす,ドカサン,ドカサン
とりちらさん	動詞,自立,*,*,五段・サ行,未然特殊,とりちらす,トリチラサン,トリチラサン
角ぐまん	動詞,自立,*,*,五段・マ行,未然特殊,角ぐむ,ツノグマン,ツノグマン
押し隠さん	動詞,自立,*,*,五段・サ行,未然特殊,押し隠す,オシカクサン,オシカクサン
かつぎ込まん	動詞,自立,*,*,五段・マ行,未然特殊,かつぎ込む,カツギコマン,カツギコマン
軋まん	動詞,自立,*,*,五段・マ行,未然特殊,軋む,キシマン,キシマン
綻ばさん	動詞,自立,*,*,五段・サ行,未然特殊,綻ばす,ホコロバサン,ホコロバサン
乗回さん	動詞,自立,*,*,五段・サ行,未然特殊,乗回す,ノリマワサン,ノリマワサン
煮えたたん	動詞,自立,*,*,五段・タ行,未然特殊,煮えたつ,ニエタタン,ニエタタン
乗組まん	動詞,自立,*,*,五段・マ行,未然特殊,乗組む,ノリクマン,ノリクマン
博さん	動詞,自立,*,*,五段・サ行,未然特殊,博す,ハクサン,ハクサン
かしがん	動詞,自立,*,*,五段・ガ行,未然特殊,かしぐ,カシガン,カシガン
わらいとばさん	動詞,自立,*,*,五段・サ行,未然特殊,わらいとばす,ワライトバサン,ワライトバサン
逃がさん	動詞,自立,*,*,五段・サ行,未然特殊,逃がす,ニガサン,ニガサン
滲まん	動詞,自立,*,*,五段・マ行,未然特殊,滲む,ニジマン,ニジマン
繰回さん	動詞,自立,*,*,五段・サ行,未然特殊,繰回す,クリマワサン,クリマワサン
脅さん	動詞,自立,*,*,五段・サ行,未然特殊,脅す,オドサン,オドサン
帰さん	動詞,自立,*,*,五段・サ行,未然特殊,帰す,キサン,キサン
